"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","instance-20260502-141653",,,,"User:","chetanmajjagi21_gmail_com"
"Cmdline:","dstat -tcmnd --tcp --output loadtest_metrics.csv 10",,,,"Date:","02 May 2026 19:35:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","lis","act","syn","tim","clo"


"Host:","instance-20260502-141653",,,,"User:","chetanmajjagi21_gmail_com"
"Cmdline:","dstat -tcmnd --tcp --output loadtest_metrics.csv 10",,,,"Date:","02 May 2026 19:37:29 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","lis","act","syn","tim","clo"
02-05 19:37:29,,518960,883776,53540,479876,,,10,25,0,11,0


"Host:","instance-20260502-141653",,,,"User:","chetanmajjagi21_gmail_com"
"Cmdline:","dstat -tcmnd --tcp --output loadtest_metrics.csv 10",,,,"Date:","02 May 2026 19:38:34 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","lis","act","syn","tim","clo"
02-05 19:38:34,,502064,900200,53628,480276,,,10,19,0,8,0
02-05 19:38:44,1.000,0,98.977,0,0,502304,899948,53636,480280,59028.315,58241.498,0,11.997,10,21,0,4,0
02-05 19:38:54,1.000,0,98.993,0,0.500,502296,899948,53648,480276,33192.598,32534.646,0,4.000,10,18,0,4,0
02-05 19:39:04,0.500,0.500,97.945,0,0,502484,899696,53664,480324,41196.750,38085.505,0,43.975,10,19,0,4,0
02-05 19:39:14,0.500,0,98.519,0,0,502352,899444,53668,480704,33346.508,37688.356,0,56.011,10,19,0,4,0
02-05 19:39:24,0.500,0,98.550,0,0,502596,899192,53672,480708,26691.489,25118.694,0,12.006,10,20,0,4,0
02-05 19:39:34,1.000,0,98.519,0,0,502580,899192,53688,480708,23056.561,20159.988,0,16.003,10,20,0,4,0
02-05 19:39:44,1.000,0,97.990,0,0,502564,899192,53708,480708,93619.065,95739.840,0,23.997,10,21,0,4,0
02-05 19:39:54,0.500,1.000,98.517,0,0.500,502596,899192,53712,480672,48891.412,50028.608,0,12.002,10,18,0,5,0
02-05 19:40:04,1.000,0,98.497,0.500,0,502588,899192,53720,480672,31017.922,34659.795,0,35.999,10,18,0,5,0
02-05 19:40:14,2.001,0,97.560,0,0,502752,898952,53732,480736,68746.609,67804.025,0,20.012,10,18,0,5,0
02-05 19:40:24,0,0,99.025,0,0,501376,898196,53744,482856,9742.453,8641.175,0,4.001,10,20,0,4,0
02-05 19:40:34,1.501,0.500,97.556,0,0.500,501620,897944,53752,482856,37687.640,41154.631,0,16.009,10,20,0,4,0
02-05 19:40:44,0,0.500,99.002,0,0,501812,897692,53752,482916,18678.336,18424.331,0,60.001,10,21,0,4,0
02-05 19:40:54,0.500,0.500,99.010,0.500,0,501804,897692,53760,482916,19026.832,18085.741,0,32.003,10,18,0,4,0
02-05 19:41:04,1.000,0,97.967,0,0,501824,897692,53776,482880,73856.364,74327.207,0,71.976,10,18,0,4,0
02-05 19:41:14,1.000,0,97.545,0,0,501920,897440,53784,483028,82495.221,86039.863,0,24.011,10,18,0,4,0
02-05 19:41:24,0.500,0.500,99.004,0,0,502604,896684,53796,483088,9242.392,7329.311,0,4.000,10,20,0,4,0
02-05 19:41:34,1.000,0,99.011,0,0.500,502596,896684,53800,483092,27155.925,26055.806,0,12.001,10,19,0,4,0
02-05 19:41:44,0.500,0,99.505,0,0,502584,896684,53812,483092,17490.955,16541.903,0,4.000,10,21,0,4,0
02-05 19:41:54,1.000,0,97.989,0,0,502572,896684,53824,483092,43429.158,40574.476,0,11.999,10,18,0,4,0
02-05 19:42:04,0,0,99.002,0,0,502852,896432,53832,483056,16876.357,15656.331,0,4.000,10,19,0,4,0
02-05 19:42:14,1.499,0,97.463,0,0,503928,895172,53844,483228,74575.374,76914.476,0,15.994,10,19,0,4,0
02-05 19:42:24,0.999,0,97.897,0,0,503912,895172,53860,483228,59937.053,57574.534,0,19.979,10,20,0,4,0
02-05 19:42:34,1.000,0,98.474,0,0,503900,895172,53872,483228,25610.224,32072.514,0,15.996,10,19,0,4,0
02-05 19:42:44,1.000,0,97.520,0,0,503464,895172,53884,483652,77519.886,77249.830,0,20.004,10,20,0,4,0
02-05 19:42:54,0.500,0.500,97.995,0,0,507548,891076,53892,483656,44114.927,45014.884,0,35.998,10,17,0,4,0
02-05 19:43:04,0.500,0,99.496,0.500,0,507412,891076,53900,483784,14369.357,14139.368,0,35.998,10,19,0,4,0
02-05 19:43:14,0.500,0.500,98.025,0,0,507368,891076,53908,483820,43850.220,49503.666,0,12.003,10,19,0,4,0
02-05 19:43:24,2.000,0,97.997,0,0.500,507360,891076,53920,483816,32577.032,32746.027,0,16.000,10,20,0,4,0
02-05 19:43:34,48.992,1.500,48.992,0,0,543200,855112,53948,483896,36009.995,37852.687,0,19.997,10,21,0,6,0
02-05 19:43:44,0,0,98.986,0,0,496760,901172,53960,484264,23417.733,24303.609,0,147.979,10,22,0,6,0
02-05 19:43:54,1.000,0,98.505,0,0,496752,901172,53972,484260,21512.103,23093.184,0,4.000,10,18,0,6,0
02-05 19:44:04,1.000,0,99.498,0,0,496780,901172,53980,484224,20465.645,20491.644,0,4.000,10,19,0,6,0
02-05 19:44:14,1.999,0,97.949,0,0,496680,900668,53992,484816,72516.489,70790.382,0,15.992,10,18,0,6,0
02-05 19:44:24,1.000,0,98.521,0,0,497176,900164,54004,484812,48360.512,53113.545,0,20.004,10,19,0,6,0
02-05 19:44:34,1.000,0,98.506,0,0,497164,900164,54016,484812,37098.340,40680.566,0,12.001,10,20,0,4,0
02-05 19:44:44,2.000,31.505,61.510,0,0.500,842056,719968,40404,339328,31136.997,30337.869,52.008,28.004,10,21,0,5,0
02-05 19:44:54,0.500,0,98.473,0,0,482028,1079980,40408,339340,62740.994,63660.745,0,23.993,10,17,0,5,0
02-05 19:45:04,1.000,0.500,97.493,0,0,481988,1079224,40424,340120,57602.097,54772.289,0,23.998,10,19,0,5,0
02-05 19:45:14,1.000,0,98.022,0,0,482308,1078228,40452,340768,54282.222,60041.518,0,16.004,10,18,0,5,0
02-05 19:45:24,0,0,99.065,0,0,482448,1077976,40460,340872,32969.495,34472.475,0,16.010,10,20,0,5,0
02-05 19:45:34,1.000,0,99.006,0,0,482432,1077976,40472,340876,21144.364,22497.451,0,40.003,10,19,0,5,0
02-05 19:45:44,2.000,0,98.488,0,0,486464,1073880,40488,340924,39397.065,43578.541,0,11.998,10,21,0,5,0
02-05 19:45:54,0,0,98.983,0,0,486488,1073880,40500,340888,28903.026,31539.572,0,7.999,10,17,0,4,0
02-05 19:46:04,0.500,0,99.475,0,0,486716,1073632,40516,340892,14063.455,13301.647,0,3.999,10,19,0,4,0
02-05 19:46:14,1.000,0,98.014,0,0,486556,1073156,40532,341512,61187.034,57023.419,4.001,24.004,10,19,0,4,0
02-05 19:46:24,0,0,98.494,0,0,486412,1073156,40544,341644,20849.754,18605.888,0,8.000,10,20,0,4,0
02-05 19:46:34,1.000,0,97.510,0,0,486392,1073156,40560,341648,89954.119,88751.997,8.001,28.003,10,18,0,4,0
02-05 19:46:44,0,0,98.990,0,0,486372,1073156,40572,341656,13964.575,13244.649,0,4.000,10,21,0,4,0
02-05 19:46:54,1.500,0.500,98.477,0,0,483336,1070128,40588,347704,60138.081,60584.977,0,15.996,10,18,0,5,0
02-05 19:47:04,0.500,0,99.055,0,0,483320,1070128,40600,347708,14628.115,14249.905,0,4.002,10,20,0,5,0
02-05 19:47:14,0.500,0.500,97.986,0,0,482976,1070128,40612,348040,43072.795,47502.157,0,11.998,10,20,0,5,0
02-05 19:47:24,1.500,0,98.006,0,0,482944,1070128,40624,348060,66174.181,66309.190,0,24.002,10,20,0,6,0
02-05 19:47:34,4.501,0.500,92.016,2.000,0,482716,1070128,40644,348268,50299.972,48694.686,204.036,96.017,10,24,1,6,0
